RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 22,2017,28/10/2017,Sri Pahang FC,Pahang,Perak FC,Perak,1,1,0,D
Round 22,2017,28/10/2017,Sarawak FA,Sarawak,T Team FC,Terengganu,0,0,0,D
Round 1,2018,3/2/2018,PKNP FC,Perak,Negeri Sembilan FC,Negeri Sembilan,1,0,1,H
Round 1,2018,3/2/2018,Terengganu FC,Terengganu,PKNS FC,Selangor,2,2,0,D
Round 1,2018,3/2/2018,JDT,Johor,Kedah Darul Aman FC,Kedah,2,1,1,H
Round 1,2018,3/2/2018,Melaka United FC,Melaka,Kelantan FC,Kelantan,2,1,1,H
Round 1,2018,4/2/2018,Sri Pahang FC,Pahang,Perak FC,Perak,0,0,0,D
Round 1,2018,4/2/2018,Kuala Lumpur City FC,Kuala Lumpur,Selangor FC,Selangor,0,2,-2,A
Round 2,2018,6/2/2018,JDT,Johor,PKNP FC,Perak,3,0,3,H
Round 2,2018,6/2/2018,Kelantan FC,Kelantan,Terengganu FC,Terengganu,1,1,0,D
Round 2,2018,7/2/2018,Negeri Sembilan FC,Negeri Sembilan,Kuala Lumpur City FC,Kuala Lumpur,2,0,2,H
Round 2,2018,7/2/2018,PKNS FC,Selangor,Sri Pahang FC,Pahang,1,0,1,H
Round 2,2018,7/2/2018,Selangor FC,Selangor,Melaka United FC,Melaka,4,1,3,H
Round 2,2018,7/2/2018,Kedah Darul Aman FC,Kedah,Perak FC,Perak,1,3,-2,A
Round 3,2018,10/2/2018,Terengganu FC,Terengganu,Selangor FC,Selangor,4,1,3,H
Round 3,2018,10/2/2018,Sri Pahang FC,Pahang,Kelantan FC,Kelantan,3,0,3,H
Round 3,2018,10/2/2018,Perak FC,Perak,PKNS FC,Selangor,0,2,-2,A
Round 3,2018,11/2/2018,Kuala Lumpur City FC,Kuala Lumpur,JDT,Johor,1,0,1,H
Round 3,2018,11/2/2018,PKNP FC,Perak,Kedah Darul Aman FC,Kedah,0,1,-1,A
Round 3,2018,11/2/2018,Melaka United FC,Melaka,Negeri Sembilan FC,Negeri Sembilan,3,0,3,H
Round 4,2018,23/2/2018,Negeri Sembilan FC,Negeri Sembilan,Terengganu FC,Terengganu,1,2,-1,A
Round 4,2018,24/2/2018,Kelantan FC,Kelantan,Perak FC,Perak,3,2,1,H
Round 4,2018,24/2/2018,JDT,Johor,Melaka United FC,Melaka,3,0,3,H
Round 4,2018,24/2/2018,Selangor FC,Selangor,Sri Pahang FC,Pahang,1,3,-2,A
Round 4,2018,25/2/2018,PKNP FC,Perak,Kuala Lumpur City FC,Kuala Lumpur,2,1,1,H
Round 4,2018,25/2/2018,PKNS FC,Selangor,Kedah Darul Aman FC,Kedah,3,4,-1,A
Round 5,2018,9/3/2018,PKNS FC,Selangor,Kelantan FC,Kelantan,1,0,1,H
Round 5,2018,10/3/2018,Terengganu FC,Terengganu,JDT,Johor,0,1,-1,A
Round 5,2018,10/3/2018,Sri Pahang FC,Pahang,Negeri Sembilan FC,Negeri Sembilan,4,0,4,H
Round 5,2018,10/3/2018,Kuala Lumpur City FC,Kuala Lumpur,Kedah Darul Aman FC,Kedah,4,3,1,H
Round 5,2018,11/3/2018,Perak FC,Perak,Selangor FC,Selangor,3,0,3,H
Round 5,2018,11/3/2018,Melaka United FC,Melaka,PKNP FC,Perak,2,0,2,H
Round 6,2018,13/4/2018,Kedah Darul Aman FC,Kedah,Selangor FC,Selangor,4,0,4,H
Round 6,2018,13/4/2018,Melaka United FC,Melaka,Terengganu FC,Terengganu,0,3,-3,A
Round 6,2018,14/4/2018,Negeri Sembilan FC,Negeri Sembilan,Kelantan FC,Kelantan,1,1,0,D
Round 6,2018,14/4/2018,JDT,Johor,PKNS FC,Selangor,3,0,3,H
Round 6,2018,15/4/2018,PKNP FC,Perak,Perak FC,Perak,1,2,-1,A
Round 6,2018,15/4/2018,Kuala Lumpur City FC,Kuala Lumpur,Sri Pahang FC,Pahang,2,2,0,D
Round 7,2018,27/4/2018,Terengganu FC,Terengganu,Kedah Darul Aman FC,Kedah,1,1,0,D
Round 7,2018,27/4/2018,PKNS FC,Selangor,PKNP FC,Perak,1,1,0,D
Round 7,2018,28/4/2018,Selangor FC,Selangor,Negeri Sembilan FC,Negeri Sembilan,2,1,1,H
Round 7,2018,28/4/2018,Kelantan FC,Kelantan,JDT,Johor,1,2,-1,A
Round 7,2018,28/4/2018,Sri Pahang FC,Pahang,Melaka United FC,Melaka,2,0,2,H
Round 7,2018,29/4/2018,Perak FC,Perak,Kuala Lumpur City FC,Kuala Lumpur,3,0,3,H
Round 8,2018,1/5/2018,Terengganu FC,Terengganu,Sri Pahang FC,Pahang,1,3,-2,A
Round 8,2018,1/5/2018,Kedah Darul Aman FC,Kedah,Negeri Sembilan FC,Negeri Sembilan,3,3,0,D
Round 8,2018,2/5/2018,JDT,Johor,Selangor FC,Selangor,2,0,2,H
Round 8,2018,2/5/2018,PKNP FC,Perak,Kelantan FC,Kelantan,2,0,2,H
Round 8,2018,2/5/2018,Kuala Lumpur City FC,Kuala Lumpur,PKNS FC,Selangor,2,1,1,H
Round 8,2018,2/5/2018,Melaka United FC,Melaka,Perak FC,Perak,1,2,-1,A
Round 9,2018,5/5/2018,Negeri Sembilan FC,Negeri Sembilan,JDT,Johor,0,4,-4,A
Round 9,2018,5/5/2018,Sri Pahang FC,Pahang,Kedah Darul Aman FC,Kedah,2,2,0,D
Round 9,2018,5/5/2018,Kelantan FC,Kelantan,Kuala Lumpur City FC,Kuala Lumpur,4,2,2,H
Round 9,2018,5/5/2018,PKNS FC,Selangor,Melaka United FC,Melaka,2,0,2,H
Round 9,2018,6/5/2018,Selangor FC,Selangor,PKNP FC,Perak,1,1,0,D
Round 9,2018,6/5/2018,Perak FC,Perak,Terengganu FC,Terengganu,3,2,1,H
Round 10,2018,11/5/2018,Kelantan FC,Kelantan,PKNP FC,Perak,1,2,-1,A
Round 10,2018,11/5/2018,Sri Pahang FC,Pahang,Terengganu FC,Terengganu,0,1,-1,A
Round 10,2018,12/5/2018,Selangor FC,Selangor,JDT,Johor,2,2,0,D
Round 10,2018,12/5/2018,Perak FC,Perak,Melaka United FC,Melaka,0,0,0,D
Round 10,2018,13/5/2018,Negeri Sembilan FC,Negeri Sembilan,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 10,2018,13/5/2018,PKNS FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,3,2,1,H
Round 11,2018,22/5/2018,Kedah Darul Aman FC,Kedah,Sri Pahang FC,Pahang,2,0,2,H
Round 11,2018,22/5/2018,Terengganu FC,Terengganu,Perak FC,Perak,2,0,2,H
Round 11,2018,22/5/2018,Kuala Lumpur City FC,Kuala Lumpur,Kelantan FC,Kelantan,5,1,4,H
Round 11,2018,23/5/2018,JDT,Johor,Negeri Sembilan FC,Negeri Sembilan,2,0,2,H
Round 11,2018,23/5/2018,Melaka United FC,Melaka,PKNS FC,Selangor,1,1,0,D
Round 11,2018,26/7/2018,PKNP FC,Perak,Selangor FC,Selangor,0,2,-2,A
Round 12,2018,25/5/2018,Sri Pahang FC,Pahang,Kuala Lumpur City FC,Kuala Lumpur,4,0,4,H
Round 12,2018,26/5/2018,Kelantan FC,Kelantan,Negeri Sembilan FC,Negeri Sembilan,0,2,-2,A
Round 12,2018,26/5/2018,Selangor FC,Selangor,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 12,2018,26/5/2018,Perak FC,Perak,PKNP FC,Perak,4,3,1,H
Round 12,2018,26/5/2018,Terengganu FC,Terengganu,Melaka United FC,Melaka,1,0,1,H
Round 12,2018,27/5/2018,PKNS FC,Selangor,JDT,Johor,0,0,0,D
Round 13,2018,1/6/2018,Kedah Darul Aman FC,Kedah,Melaka United FC,Melaka,0,2,-2,A
Round 13,2018,1/6/2018,Selangor FC,Selangor,Kelantan FC,Kelantan,4,0,4,H
Round 13,2018,2/6/2018,JDT,Johor,Perak FC,Perak,2,0,2,H
Round 13,2018,2/6/2018,Kuala Lumpur City FC,Kuala Lumpur,Terengganu FC,Terengganu,3,0,3,H
